Your Input	WormBase Gene ID
itx-1	WBGene00002174
nlr-1	WBGene00003772
bam-2	WBGene00000237
lat-1	WBGene00002251
lat-2	WBGene00002252
nlg-1	WBGene00006412
glit-1	WBGene00018878
Multiple Output Below
slo-1	WBGene00004828
slo-1	WBGene00004830
twk-1	WBGene00006656
twk-1	WBGene00006660
twk-2	WBGene00006657
twk-2	WBGene00006672
twk-3	WBGene00006658
twk-3	WBGene00006679
twk-5	WBGene00006660
twk-5	WBGene00006661
twk-6	WBGene00006661
twk-6	WBGene00006676
twk-7	WBGene00006656
twk-7	WBGene00006662
twk-8	WBGene00006662
twk-8	WBGene00006663
twk-9	WBGene00006664
twk-9	WBGene00006667
twk-10	WBGene00006665
twk-10	WBGene00006684
twk-11	WBGene00006666
twk-11	WBGene00006677
twk-12	WBGene00006667
twk-12	WBGene00006669
twk-13	WBGene00006668
twk-13	WBGene00006678
twk-14	WBGene00006658
twk-14	WBGene00006669
twk-16	WBGene00006670
twk-16	WBGene00006674
twk-17	WBGene00006671
twk-17	WBGene00006675
twk-20	WBGene00006659
twk-20	WBGene00006673
twk-21	WBGene00006664
twk-21	WBGene00006674
twk-23	WBGene00006318
twk-23	WBGene00006676
twk-24	WBGene00006665
twk-24	WBGene00006677
twk-25	WBGene00006658
twk-25	WBGene00006678
mod-1	WBGene00001009
mod-1	WBGene00003386
avr-14	WBGene00000232
avr-14	WBGene00221971
ins-1	WBGene00002084
ins-1	WBGene00002101
ins-2	WBGene00002085
ins-2	WBGene00002100
ser-1	WBGene00004736
ser-1	WBGene00004776
tkr-1	WBGene00003862
tkr-1	WBGene00006576
tkr-2	WBGene00003863
tkr-2	WBGene00016761
cah-1	WBGene00000279
cah-1	WBGene00000294
kap-1	WBGene00000101
kap-1	WBGene00002182
arl-6	WBGene00000190
arl-6	WBGene00000193
